,rank,region,team,opponent,group,owner,bid
601,12,West,Murray State Racers,Marquette Golden Eagles,1,Sean,65
45,13,South,UC Irvine Anteaters,Kansas State Wildcats,1,Melissa,55
52,4,West,Florida State Seminoles,Vermont Catamounts,1,Melissa,170
25,9,Midwest,Washington Huskies,Utah State Aggies,1,Mark,85
34,2,South,Tennessee Volunteers,Colgate Raiders,1,Hyrum,250
24,8,Midwest,Utah State Aggies,Washington Huskies,1,Andy,100
48,16,South,Gardner-Webb Bulldogs,Virginia Cavaliers,1,Justin,45
59,11,West,Arizona State Sun Devils/St. John's Red Storm,Buffalo Bulls,1,Sean,55
7,7,East,Louisville Cardinals,Minnesota Golden Gophers,1,Justin,85
47,15,South,Colgate Raiders,Tennessee Volunteers,1,Mark,45
58,10,West,Florida Gators,Nevada Wolf Pack,1,Mark,100
17,1,Midwest,North Carolina Tar Heels,Iona Gaels,1,Shawn,300
21,5,Midwest,Auburn Tigers,New Mexico State Aggies,1,Melissa,155
62,14,West,Northern Kentucky Norse,Texas Tech Red Raiders,1,Tom,50
51,3,West,Texas Tech Red Raiders,Northern Kentucky Norse,1,Hyrum,195
22,6,Midwest,Iowa State Cyclones,Ohio State Buckeyes,1,Sean,90
18,2,Midwest,Kentucky Wildcats,Abilene Christian Wildcats,2,Sean,285
13,13,East,Saint Louis Billikens,Virginia Tech Hokies,2,Mark,55
20,4,Midwest,Kansas Jayhawks,Northeastern Huskies,2,Tom,190
1,1,East,Duke Blue Devils,North Carolina Central Eagles/North Dakota State Bison,2,Gabriella,350
41,9,South,Oklahoma Sooners,Ole Miss Rebels,2,Andy,85
12,12,East,Liberty Flames,Mississippi State Bulldogs,2,Justin,50
43,11,South,Saint Mary's Gaels,Villanova Wildcats,2,Sean,50
64,16,West,Fairleigh Dickinson Knights/Prairie View A&M Panthers,Gonzaga Bulldogs,2,Justin,40
5,5,East,Mississippi State Bulldogs,Liberty Flames,2,Hyrum,105
46,14,South,Old Dominion Monarchs,Purdue Boilermakers,2,Tom,45
10,10,East,Minnesota Golden Gophers,Louisville Cardinals,2,Sean,65
31,15,Midwest,Abilene Christian Wildcats,Kentucky Wildcats,2,Andy,45
40,8,South,Ole Miss Rebels,Oklahoma Sooners,2,Mark,70
38,6,South,Villanova Wildcats,Saint Mary's Gaels,2,Tom,140
23,7,Midwest,Wofford Terriers,Seton Hall Pirates,2,Andy,90
35,3,South,Purdue Boilermakers,Old Dominion Monarchs,2,Mark,200
39,7,South,Cincinnati Bearcats,Iowa Hawkeyes,3,Andy,70
11,11,East,Belmont Bruins/Temple Owls,Maryland Terrapins,3,Gabriella,60
57,9,West,Baylor Bears,Syracuse Orange,3,Justin,60
42,10,South,Iowa Hawkeyes,Cincinnati Bearcats,3,Andy,90
6,6,East,Maryland Terrapins,Belmont Bruins/Temple Owls,3,Hyrum,95
14,14,East,Yale Bulldogs,LSU Tigers,3,Mark,60
44,12,South,Oregon Ducks,Wisconsin Badgers,3,Gabriella,55
53,5,West,Marquette Golden Eagles,Murray State Racers,3,Mark,95
3,3,East,LSU Tigers,Yale Bulldogs,3,Justin,150
32,16,Midwest,Iona Gaels,North Carolina Tar Heels,3,Tom,35
50,2,West,Michigan Wolverines,Montana Grizzlies,3,Andy,260
33,1,South,Virginia Cavaliers,Gardner-Webb Bulldogs,3,Tom,235
4,4,East,Virginia Tech Hokies,Saint Louis Billikens,3,Melissa,115
63,15,West,Montana Grizzlies,Michigan Wolverines,3,Justin,40
8,8,East,VCU Rams,UCF Knights,3,Mark,90
29,13,Midwest,Northeastern Huskies,Kansas Jayhawks,3,Gabriella,45
37,5,South,Wisconsin Badgers,Oregon Ducks,4,Sean,100
28,12,Midwest,New Mexico State Aggies,Auburn Tigers,4,Gabriella,40
15,15,East,Bradley Braves,Michigan State Spartans,4,Justin,45
56,8,West,Syracuse Orange,Baylor Bears,4,Hyrum,80
55,7,West,Nevada Wolf Pack,Florida Gators,4,Sean,90
27,11,Midwest,Ohio State Buckeyes,Iowa State Cyclones,4,Melissa,60
16,16,East,North Carolina Central Eagles/North Dakota State Bison,Duke Blue Devils,4,Justin,35
30,14,Midwest,Georgia State Panthers,Houston Cougars,4,Hyrum,35
54,6,West,Buffalo Bulls,Arizona State Sun Devils/St. John's Red Storm,4,Gabriella,55
49,1,West,Gonzaga Bulldogs,Fairleigh Dickinson Knights/Prairie View A&M Panthers,4,Shawn,255
19,3,Midwest,Houston Cougars,Georgia State Panthers,4,Justin,155
9,9,East,UCF Knights,VCU Rams,4,Gabriella,55
61,13,West,Vermont Catamounts,Florida State Seminoles,4,Melissa,45
26,10,Midwest,Seton Hall Pirates,Wofford Terriers,4,Andy,55
36,4,South,Kansas State Wildcats,UC Irvine Anteaters,4,Shawn,160
2,2,East,Michigan State Spartans,Bradley Braves,4,Melissa,110
